match_id,date,venue,batting_team,bowling_team,innings,over,striker,non_striker,bowler,Runs_scored,runs_of_bat,extras,wide,legbyes,byes,noballs,wicket_type,player_dismissed,fielder
1,22-Mar-24,Chennai,RCB,CSK,1,11.5,Karthik,Anuj Rawat,Mustafizur,0,0,0,0,0,0,0,,,
1,22-Mar-24,Chennai,RCB,CSK,1,11.6,Karthik,Anuj Rawat,Mustafizur,1,1,0,0,0,0,0,,,
1,22-Mar-24,Chennai,RCB,CSK,1,12.1,Karthik,Anuj Rawat,Tushar Deshpande,0,0,0,0,0,0,0,,,
1,22-Mar-24,Chennai,RCB,CSK,1,12.2,Karthik,Anuj Rawat,Tushar Deshpande,1,1,0,0,0,0,0,,,
1,22-Mar-24,Chennai,RCB,CSK,1,12.3,Anuj Rawat,Karthik,Tushar Deshpande,1,1,0,0,0,0,0,,,
1,22-Mar-24,Chennai,RCB,CSK,1,12.4,Karthik,Anuj Rawat,Tushar Deshpande,0,0,0,0,0,0,0,,,
1,22-Mar-24,Chennai,RCB,CSK,1,12.5,Karthik,Anuj Rawat,Tushar Deshpande,1,1,0,0,0,0,0,,,
1,22-Mar-24,Chennai,RCB,CSK,1,12.6,Anuj Rawat,Karthik,Tushar Deshpande,1,1,0,0,0,0,0,,,
1,22-Mar-24,Chennai,RCB,CSK,1,13.1,Anuj Rawat,Karthik,Jadeja,1,1,0,0,0,0,0,,,
1,22-Mar-24,Chennai,RCB,CSK,1,13.2,Karthik,Anuj Rawat,Jadeja,1,1,0,0,0,0,0,,,
1,22-Mar-24,Chennai,RCB,CSK,1,13.3,Anuj Rawat,Karthik,Jadeja,2,2,0,0,0,0,0,,,
1,22-Mar-24,Chennai,RCB,CSK,1,13.4,Anuj Rawat,Karthik,Jadeja,1,1,0,0,0,0,0,,,
1,22-Mar-24,Chennai,RCB,CSK,1,13.5,Karthik,Anuj Rawat,Jadeja,1,0,1,0,1,0,0,,,
1,22-Mar-24,Chennai,RCB,CSK,1,13.6,Anuj Rawat,Karthik,Jadeja,1,1,0,0,0,0,0,,,
1,22-Mar-24,Chennai,RCB,CSK,1,14.1,Anuj Rawat,Karthik,Chahar,4,4,0,0,0,0,0,,,
1,22-Mar-24,Chennai,RCB,CSK,1,14.2,Anuj Rawat,Karthik,Chahar,1,1,0,0,0,0,0,,,
1,22-Mar-24,Chennai,RCB,CSK,1,14.3,Karthik,Anuj Rawat,Chahar,1,1,0,0,0,0,0,,,
1,22-Mar-24,Chennai,RCB,CSK,1,14.4,Anuj Rawat,Karthik,Chahar,1,1,0,0,0,0,0,,,
1,22-Mar-24,Chennai,RCB,CSK,1,14.5,Karthik,Anuj Rawat,Chahar,1,1,0,0,0,0,0,,,
1,22-Mar-24,Chennai,RCB,CSK,1,14.6,Anuj Rawat,Karthik,Chahar,4,4,0,0,0,0,0,,,
1,22-Mar-24,Chennai,RCB,CSK,1,15.1,Karthik,Anuj Rawat,Theekshana,4,4,0,0,0,0,0,,,
1,22-Mar-24,Chennai,RCB,CSK,1,15.2,Karthik,Anuj Rawat,Theekshana,1,1,0,0,0,0,0,,,
1,22-Mar-24,Chennai,RCB,CSK,1,15.3,Anuj Rawat,Karthik,Theekshana,1,1,0,0,0,0,0,,,
1,22-Mar-24,Chennai,RCB,CSK,1,15.4,Karthik,Anuj Rawat,Theekshana,1,1,0,0,0,0,0,,,
1,22-Mar-24,Chennai,RCB,CSK,1,15.5,Anuj Rawat,Karthik,Theekshana,1,1,0,0,0,0,0,,,
1,22-Mar-24,Chennai,RCB,CSK,1,15.6,Karthik,Anuj Rawat,Theekshana,6,6,0,0,0,0,0,,,
